,size,name,block_size,block_count,mode,time_no_cache
0,100000,one_hundred_k_input.txt,512,1,r,0.01590108871459961
1,1000000,one_mil_input.txt,512,1,r,0.04480123519897461
2,10000000,ten_mil_input.txt,512,1,r,0.12910676002502441
3,100000000,one_hundred_mil_input.txt,512,1,r,0.9526777267456055
4,1000000000,one_bil_input.txt,512,1,r,9.017789125442505
5,10000000000,ten_bil_input.txt,512,1,r,87.94570302963257
6,15000000000,ten_bil_input.txt,512,1,r,129.02405309677124
7,20000000000,twenty_bil_input.txt,512,1,r,168.76092386245728
8,30000000000,thirty_bil_input.txt,512,1,r,289.50059390068054
9,40000000000,fourty_bil_input.txt,512,1,r,369.82405614852905
10,50000000000,fifty_bil_input.txt,512,1,r,464.45872688293457
